"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity"
"BS6I","MPD (Memory Protection Devices)","BS6I-ND","J1","1"
"MHNZ 002 4","B&F Fastener Supply","H761-ND","","14"
"MPMS 002 0005 PH","B&F Fastener Supply","H738-ND","","10"
"SJ-3523-SMT-TR","CUI Inc.","CP-3523SJCT-ND","J2","1"
"MPMS 002 0008 PH","B&F Fastener Supply","H739-ND","","2"
"6LF22XWA/B","Panasonic - BSG","P687-ND","","1"
"GRM21BR61E106KA73L","Murata Electronics North America","490-5523-1-ND","C2-C4","3"
"ERJ-2RKF1002X","Panasonic Electronic Components","P10.0KLCT-ND","R3-R7","5"
"150060RS75000","Wurth Electronics Inc.","732-4978-1-ND","D1","1"
"ERJ-2RKF1001X","Panasonic Electronic Components","P1.00KLCT-ND","R1, R2","3"
"LM358ADR","Texas Instruments","296-14601-1-ND","U1","1"
"TC33X-2-104E","Bourns Inc.","TC33X-104ECT-ND","RV1","1"
"GRM188R71C474KA88D","Murata Electronics North America","490-3295-1-ND","C1","1"
"ERJ-2RKF1003X","Panasonic Electronic Components","P100KLCT-ND","R8","1"
"JS102011SAQN","C&K","401-1999-1-ND","SW1","1"
"GCM1885C1H681JA16D","Murata Electronics North America","490-4966-1-ND","C5","1"
"HMC0402JT100M","Stackpole Electronics Inc.","HMC0402JT100MCT-ND","R9, R10","2"
"MMBF4117","ON Semiconductor","MMBF4117CT-ND","Q1","1"